time,TAI_SECONDS,LAST_ACC_CMD_BYTES1,LAST_ACC_CMD_BYTES2,LAST_ACC_CMD_BYTES3,LAST_ACC_CMD_BYTES4,LAST_ACC_CMD_BYTES5,LAST_ACC_CMD_BYTES6
2022-02-02T20:54:57Z,3485536489,31,1,3,240,0,4
2022-02-02T20:54:58Z,3485536494,31,1,3,240,0,4
2022-02-02T20:54:59Z,3485536499,31,1,3,240,0,4
2022-02-02T20:55:00Z,3485536504,31,1,3,240,0,4
2022-02-02T20:55:01Z,3485536509,31,1,3,240,0,4
2022-02-02T20:55:02Z,3485536514,31,1,3,240,0,4
2022-02-02T20:55:03Z,3485536516,31,1,3,240,0,4
2022-02-02T20:55:04Z,3485536524,31,1,3,240,0,4
2022-02-02T20:55:05Z,3485536528,31,1,3,240,0,4
2022-02-02T20:55:06Z,3485536534,31,1,3,240,0,4
2022-02-02T20:55:07Z,3485536538,31,1,3,240,0,4
2022-02-02T20:55:08Z,3485536542,31,1,3,240,0,4
2022-02-02T20:55:09Z,3485536549,31,1,3,240,0,4
2022-02-02T20:55:10Z,3485536553,31,1,3,240,0,4
2022-02-02T20:55:11Z,3485536558,31,1,3,240,0,4
2022-02-02T20:55:12Z,3485536564,31,1,3,240,0,4
2022-02-02T20:55:13Z,3485536569,31,1,3,240,0,4
2022-02-02T20:55:14Z,3485536574,31,1,3,240,0,4
2022-02-02T20:55:15Z,3485536579,31,1,3,240,0,4
2022-02-02T20:55:16Z,3485536583,31,1,3,240,0,4
2022-02-02T20:55:17Z,3485536589,31,1,3,240,0,4
2022-02-02T20:55:18Z,3485536594,31,1,3,240,0,4
2022-02-02T20:55:19Z,3485536599,31,1,3,240,0,4
2022-02-02T20:55:20Z,3485536603,31,1,3,240,0,4
2022-02-02T20:55:21Z,3485536609,31,1,3,240,0,4
2022-02-02T20:55:22Z,3485536614,31,1,3,240,0,4
2022-02-02T20:55:23Z,3485536619,31,1,3,240,0,4
